Date,Price
30-01-2019,800
31-01-2019,900
01-02-2019,900
02-02-2019,900
03-02-2019,1100
04-02-2019,1100
05-02-2019,1100
06-02-2019,1100
07-02-2019,1100
08-02-2019,1100
09-02-2019,1000
10-02-2019,1000
11-02-2019,1000
12-02-2019,900
13-02-2019,900
14-02-2019,900
15-02-2019,900
16-02-2019,900
17-02-2019,900
18-02-2019,900
19-02-2019,900
20-02-2019,900
21-02-2019,900
22-02-2019,900
23-02-2019,900
24-02-2019,900
25-02-2019,900
26-02-2019,900
27-02-2019,900
28-02-2019,900
01-03-2019,800
02-03-2019,800
03-03-2019,800
04-03-2019,800
05-03-2019,800
06-03-2019,700
07-03-2019,800
08-03-2019,900
09-03-2019,900
10-03-2019,900
11-03-2019,900
12-03-2019,900
13-03-2019,900
14-03-2019,900
15-03-2019,900
16-03-2019,800
17-03-2019,800
18-03-2019,900
19-03-2019,800
20-03-2019,800
21-03-2019,900
22-03-2019,900
23-03-2019,900
24-03-2019,1000
25-03-2019,900
26-03-2019,900
27-03-2019,900
28-03-2019,900
29-03-2019,900
30-03-2019,900
31-03-2019,900
01-04-2019,900
02-04-2019,900
03-04-2019,900
04-04-2019,900
05-04-2019,900
06-04-2019,900
07-04-2019,900
08-04-2019,900
09-04-2019,900
10-04-2019,900
11-04-2019,900
12-04-2019,900
13-04-2019,900
14-04-2019,950
15-04-2019,900
16-04-2019,950
17-04-2019,950
18-04-2019,900
19-04-2019,900
20-04-2019,950
21-04-2019,1000
22-04-2019,1100
23-04-2019,1300
24-04-2019,1200
25-04-2019,1100
26-04-2019,1000
27-04-2019,900
28-04-2019,1200
29-04-2019,1200
30-04-2019,1200
01-05-2019,2000
02-05-2019,2200
03-05-2019,1500
04-05-2019,1400
05-05-2019,1500
06-05-2019,1600
07-05-2019,1700
08-05-2019,1700
09-05-2019,1600
10-05-2019,1600
11-05-2019,1600
12-05-2019,1700
13-05-2019,1800
14-05-2019,1800
15-05-2019,1600
16-05-2019,1600
17-05-2019,1500
18-05-2019,1500
19-05-2019,1500
20-05-2019,1500
21-05-2019,1500
22-05-2019,1400
23-05-2019,1400
24-05-2019,1400
25-05-2019,1400
26-05-2019,1400
27-05-2019,1400
28-05-2019,1300
29-05-2019,1700
30-05-2019,1700
31-05-2019,1800
01-06-2019,1800
02-06-2019,1800
03-06-2019,1700
04-06-2019,1700
05-06-2019,1600
06-06-2019,1600
07-06-2019,1500
08-06-2019,1500
09-06-2019,1500
10-06-2019,1400
11-06-2019,1400
12-06-2019,1300
13-06-2019,1300
14-06-2019,1300
15-06-2019,1300
16-06-2019,1300
17-06-2019,1300
18-06-2019,1300
19-06-2019,1300
20-06-2019,1200
21-06-2019,1200
22-06-2019,1200
23-06-2019,1200
24-06-2019,1200
25-06-2019,1200
26-06-2019,1200
27-06-2019,1200
28-06-2019,1300
29-06-2019,1300
30-06-2019,1400
01-07-2019,1400
02-07-2019,1400
03-07-2019,1500
04-07-2019,1300
05-07-2019,1300
06-07-2019,1300
07-07-2019,1600
08-07-2019,1500
09-07-2019,1400
10-07-2019,1400
11-07-2019,1400
12-07-2019,1300
13-07-2019,1400
14-07-2019,1500
15-07-2019,1400
16-07-2019,1400
17-07-2019,1400
18-07-2019,1200
19-07-2019,1200
20-07-2019,1400
21-07-2019,1300
22-07-2019,1300
23-07-2019,1400
24-07-2019,1400
25-07-2019,1300
26-07-2019,1300
27-07-2019,1300
28-07-2019,1400
29-07-2019,1400
30-07-2019,1400
31-07-2019,1400
01-08-2019,1200
02-08-2019,1200
03-08-2019,1400
04-08-2019,1300
05-08-2019,1200
06-08-2019,1200
07-08-2019,1300
08-08-2019,1400
09-08-2019,1400
10-08-2019,1400
11-08-2019,1400
12-08-2019,1300
13-08-2019,1300
14-08-2019,1400
15-08-2019,1400
16-08-2019,1500
17-08-2019,1400
18-08-2019,1400
19-08-2019,1500
20-08-2019,1500
21-08-2019,1500
22-08-2019,1500
23-08-2019,1500
24-08-2019,1500
25-08-2019,1500
26-08-2019,1500
27-08-2019,1400
28-08-2019,1500
29-08-2019,1500
30-08-2019,1400
31-08-2019,1500
01-09-2019,1400
02-09-2019,1400
03-09-2019,1500
04-09-2019,1400
05-09-2019,1400
06-09-2019,1500
07-09-2019,1600
08-09-2019,1500
09-09-2019,1600
10-09-2019,1400
11-09-2019,1500
12-09-2019,1500
13-09-2019,1500
14-09-2019,1400
15-09-2019,1400
16-09-2019,1400
17-09-2019,1400
18-09-2019,1500
19-09-2019,1500
20-09-2019,1500
21-09-2019,1600
22-09-2019,1500
23-09-2019,1500
24-09-2019,1400
25-09-2019,1500
26-09-2019,1500
27-09-2019,1500
28-09-2019,1500
29-09-2019,1400
30-09-2019,1400
01-10-2019,1400
02-10-2019,1400
03-10-2019,1500
04-10-2019,1400
05-10-2019,1400
06-10-2019,1500
07-10-2019,1500
08-10-2019,1600
09-10-2019,1600
10-10-2019,1500
11-10-2019,1600
12-10-2019,1500
13-10-2019,1500
14-10-2019,1500
15-10-2019,1500
16-10-2019,1500
17-10-2019,1500
18-10-2019,1500
19-10-2019,1500
20-10-2019,1500
21-10-2019,1500
22-10-2019,1500
23-10-2019,1800
24-10-2019,1800
25-10-2019,1800
26-10-2019,1700
27-10-2019,1800
28-10-2019,1700
29-10-2019,1600
30-10-2019,1600
31-10-2019,1600
01-11-2019,1800
02-11-2019,1800
03-11-2019,1800
04-11-2019,1800
05-11-2019,1800
06-11-2019,2200
07-11-2019,2000
08-11-2019,2200
09-11-2019,1800
10-11-2019,1700
11-11-2019,2200
12-11-2019,2000
13-11-2019,2000
14-11-2019,2000
15-11-2019,2000
16-11-2019,2000
17-11-2019,1800
18-11-2019,1800
19-11-2019,1800
20-11-2019,2000
21-11-2019,2200
22-11-2019,2200
23-11-2019,2200
24-11-2019,2000
25-11-2019,2100
26-11-2019,1800
27-11-2019,2000
28-11-2019,2100
29-11-2019,1800
30-11-2019,2000
01-12-2019,1800
02-12-2019,1800
03-12-2019,1800
04-12-2019,2000
05-12-2019,1800
06-12-2019,2000
07-12-2019,2300
08-12-2019,2000
09-12-2019,2000
10-12-2019,2200
11-12-2019,2000
12-12-2019,2000
13-12-2019,2000
14-12-2019,2000
15-12-2019,1800
16-12-2019,1800
17-12-2019,2000
18-12-2019,2200
19-12-2019,2000
20-12-2019,2000
21-12-2019,2000
22-12-2019,2000
23-12-2019,2000
24-12-2019,2200
25-12-2019,1800
26-12-2019,2200
27-12-2019,2000
28-12-2019,2200
29-12-2019,2200
30-12-2019,2200
31-12-2019,2200
01-01-2020,2200
02-01-2020,2200
03-01-2020,2200
04-01-2020,2800
05-01-2020,3000
06-01-2020,3000
07-01-2020,3200
08-01-2020,3200
09-01-2020,3400
10-01-2020,3400
11-01-2020,3400
12-01-2020,3400
13-01-2020,3200
14-01-2020,3200
15-01-2020,3000
16-01-2020,2800
17-01-2020,2400
18-01-2020,2400
19-01-2020,2200
20-01-2020,2200
21-01-2020,2300
22-01-2020,2300
23-01-2020,2300
24-01-2020,2300
25-01-2020,2300
26-01-2020,2300
27-01-2020,2300
28-01-2020,2300
29-01-2020,2300
30-01-2020,2200
31-01-2020,2200
01-02-2020,2200
02-02-2020,2200
03-02-2020,2400
04-02-2020,2400
05-02-2020,2400
06-02-2020,2000
07-02-2020,1800
08-02-2020,2200
09-02-2020,2400
10-02-2020,2400
11-02-2020,2000
12-02-2020,1800
13-02-2020,1800
14-02-2020,1800
15-02-2020,1800
16-02-2020,1800
17-02-2020,1700
18-02-2020,1700
19-02-2020,1600
20-02-2020,1600
21-02-2020,1700
22-02-2020,1800
23-02-2020,1800
24-02-2020,1800
25-02-2020,1600
26-02-2020,1600
27-02-2020,1600
28-02-2020,1800
29-02-2020,1800
01-03-2020,1800
02-03-2020,1700
03-03-2020,1700
04-03-2020,1700
05-03-2020,1700
06-03-2020,1800
07-03-2020,1600
08-03-2020,1800
